Studio,Country,Founded,lat,lon
Video Brinquedo,Brazil,1994,-10.3333333,-53.2
Walt Disney Animation Studios,United States,1923,39.7837304,-100.445882
Walt Disney Television Animation,United States,1985,39.7837304,-100.445882
Walt Disney Television International Japan,Japan,2008,36.5748441,139.2394179
Wang Film Productions,Taiwan,1978,23.5983227,120.8353769
Warner Bros. Animation,United States,1980,39.7837304,-100.445882
Warner Animation Group,United States,2013,39.7837304,-100.445882
White Fox,Japan,2007,36.5748441,139.2394179
WildBrain Ltd.,Canada,2006,61.0666922,-107.991707
WildBrain Spark Studios,United Kingdom,2016,54.7023545,-3.2765753
WildBrain Studios,Canada,2016,61.0666922,-107.991707
Williams Street Studios,United States,1994,39.7837304,-100.445882
Wit Studio,Japan,2012,36.5748441,139.2394179
Wizart Animation,Russia,2007,64.6863136,97.7453061
Worker Studio,United States,2009,39.7837304,-100.445882
Xilam,France,1999,46.603354,1.8883335
Xyzoo Animation,South Africa,1991,-28.8166236,24.991639
Yowza! Animation,Canada,1996,61.0666922,-107.991707
Zagreb school of animated films,Croatia,1956,45.3658443,15.6575209
Zexcs,Japan,1998,36.5748441,139.2394179
Zinkia Entertainment,Spain,2001,39.3260685,-4.8379791
